iter	MAE
0	1066.55872
1	1034.084554
2	1003.902287
3	972.8226813
4	946.2226254
5	919.0655662
6	893.0983363
7	866.6757809
8	842.2411437
9	818.581537
10	797.0362784
11	775.4779917
12	754.32282
13	734.0675739
14	714.4878805
15	695.6253184
16	677.5429103
17	660.5949953
18	644.2774173
19	628.3117701
20	613.7619832
21	599.259674
22	585.1774704
23	571.6846875
24	558.5677483
25	546.2708311
26	534.5047098
27	523.1515303
28	512.0423915
29	501.5732049
30	491.7091101
31	482.4309456
32	473.5352418
33	464.8609575
34	456.2162596
35	448.739787
36	440.9003584
37	433.402257
38	426.7385104
39	420.4810835
40	414.2919327
41	408.6064059
42	402.8144625
43	397.4427961
44	391.9483585
45	386.813442
46	381.8108544
47	376.8749517
48	372.7825692
49	368.2560747
50	363.8906116
51	359.767192
52	355.7305216
53	352.1060151
54	348.4624006
55	345.0924737
56	341.5584181
57	338.3509892
58	335.3244851
59	332.053949
60	329.4663841
61	326.8518819
62	324.0386315
63	321.4387638
64	318.6856083
65	316.1122016
66	314.1377321
67	311.6377643
68	309.3079713
69	307.1803976
70	305.0858862
71	303.1092726
72	301.088031
73	299.2764612
74	297.4957467
75	296.177421
76	294.5375269
77	292.9999111
78	291.7149999
79	290.6134984
80	289.3189031
81	288.2164488
82	286.9800609
83	286.0253529
84	284.9501411
85	283.8844838
86	282.7801059
87	281.7487529
88	280.7360449
89	279.6545899
90	278.739181
91	277.8123863
92	276.9655386
93	276.0296242
94	275.2754408
95	274.5617429
96	273.8236044
97	273.0973002
98	272.2276339
99	271.6164147
100	270.9537672
101	270.3318853
102	269.5565708
103	268.9607651
104	268.2775209
105	267.616225
106	267.0705698
107	266.5289163
108	266.0270928
109	265.5949937
110	265.1156335
111	264.6869738
112	264.3113712
113	263.9344532
114	263.5977416
115	263.2167434
116	262.7364618
117	262.4321036
118	262.0293934
119	261.6260196
120	261.2165161
121	260.8922552
122	260.5887927
123	260.2007681
124	259.918303
125	259.6436496
126	259.2919179
127	259.0924425
128	258.961507
129	258.7278458
130	258.4377888
131	258.0851208
132	257.9199264
133	257.7279
134	257.5366155
135	257.338387
136	257.1519696
137	256.9850508
138	256.7409618
139	256.5619437
140	256.4040105
141	256.2511111
142	256.0052929
143	255.8741391
144	255.665171
145	255.4258622
146	255.2565773
147	255.087592
148	254.9204991
149	254.7094645
150	254.4947268
151	254.3106013
152	254.1859074
153	254.0053685
154	253.8599588
155	253.7032426
156	253.5613779
157	253.4926114
158	253.3410295
159	253.2045542
160	253.0888444
161	252.9685711
162	252.8346162
163	252.6824855
164	252.5248256
165	252.4305281
166	252.3122937
167	252.1761275
168	252.0578212
169	251.9432064
