id,yield
15000,4476.81146
15001,6821.8081
15002,8357.06722
15003,2946.92602
15004,5811.21147
15005,7357.3589
15006,5830.48855
15007,5741.2103
15008,6107.38247
15009,8263.28974
15010,5729.56964
15011,6503.27204
15012,6948.2288
15013,5831.7066
15014,4924.35736
15015,5628.71053
15016,5718.40817
15017,5649.03716
15018,7557.46014
15019,5902.33288
15020,3804.61017
15021,6757.07366
15022,5154.97591
15023,3911.42225
15024,5492.81699
15025,6190.66597
15026,6887.46649
15027,7861.46538
15028,6514.63899
15029,4179.18592
15030,4278.76321
15031,8175.45619
15032,5739.68029
15033,4574.81387
15034,7071.61532
15035,6374.4443
15036,6898.39095
15037,5892.161
15038,4254.82514
15039,6707.59259
15040,6554.97686
15041,7416.70776
15042,8157.23694
15043,2452.68075
15044,6251.61184
15045,8413.65966
15046,6237.20605
15047,4234.86859
15048,8007.20621
15049,4393.52743
15050,5330.63134
15051,5428.10602
15052,7778.34916
15053,6150.84205
15054,6325.26613
15055,8318.79889
15056,5534.80494
15057,7536.09687
15058,6779.98166
15059,6806.49269
15060,6182.75087
15061,5402.48408
15062,5773.62581
15063,4387.74185
15064,6306.55062
15065,7416.70776
15066,6992.82314
15067,5330.06203
15068,6260.47363
15069,4460.91457
15070,3804.61017
15071,7637.63338
15072,8671.71681
15073,4867.94772
15074,5439.4215
15075,6836.39728
15076,6708.24129
15077,5931.7528
15078,6013.40759
15079,2605.69676
15080,8969.40184
15081,3828.16556
15082,7969.02575
15083,4178.77206
15084,5527.42503
15085,4310.6254
15086,4476.81146
15087,6608.04163
15088,4166.29973
15089,5399.86113
15090,7041.38018
15091,5393.56434
15092,8318.79889
15093,5750.88107
15094,5830.89362
15095,7183.10038
15096,6909.43
15097,7219.76039
15098,5597.02216
15099,6754.44894
15100,4387.74185
15101,4936.10558
15102,4936.36477
15103,6461.67087
15104,6093.31527
15105,5828.73212
15106,6318.70872
15107,4178.77206
15108,8247.52116
15109,5556.3746
15110,6125.69538
15111,6370.89887
15112,4112.89349
15113,5696.02606
15114,7804.62795
15115,7122.49056
15116,4433.53697
15117,7207.4203
15118,6482.70572
15119,6663.00068
15120,5773.62581
15121,6376.66256
15122,5772.91016
15123,4334.84122
15124,5605.221
15125,7548.34706
15126,7301.10622
15127,7198.42285
15128,5151.38647
15129,1637.70402
15130,6370.89887
15131,7400.77538
15132,3764.31973
15133,4218.32799
15134,4290.96488
15135,6919.34518
15136,6909.43
15137,5333.97357
15138,5367.61826
15139,4898.83586
15140,5597.02216
15141,4802.6043
15142,5221.35741
15143,7127.16457
15144,8655.67644
15145,6115.94707
15146,3948.98691
15147,3626.36653
15148,4056.83427
15149,6671.07264
15150,4290.96488
15151,6801.49205
15152,7230.1325
15153,5428.10602
15154,5750.88107
15155,5150.94289
15156,8064.73881
15157,5548.12201
15158,6528.79888
15159,6394.07791
15160,7234.25525
15161,4350.42467
15162,5830.89362
15163,6920.08427
15164,7340.46077
15165,4234.86859
15166,6569.24967
15167,7570.60862
15168,4952.01304
15169,4867.94772
15170,7536.09687
15171,6060.28382
15172,7637.63338
15173,6071.2289
15174,5203.87681
15175,5367.61826
15176,5330.06203
15177,5305.74363
15178,6060.64149
15179,7608.62182
15180,5128.16351
15181,4641.00151
15182,5729.56964
15183,5720.72316
15184,6125.69538
15185,7765.25632
15186,3519.43131
15187,3911.42225
15188,7669.81182
15189,8634.77583
15190,5750.88107
15191,7835.76779
15192,5453.99382
15193,4290.96488
15194,6299.22636
15195,6696.23571
15196,5755.70016
15197,3923.90628
15198,5781.85965
15199,4125.75712
15200,6528.79888
15201,4125.75712
15202,5086.60991
15203,7425.75194
15204,2625.26916
15205,3447.0821
15206,7575.80124
15207,5632.45917
15208,4808.60902
15209,4393.52743
15210,6301.03442
15211,4163.82304
15212,6960.10751
15213,6608.90751
15214,6731.71221
15215,6591.78118
15216,5602.02293
15217,7161.9619
15218,5449.4212
15219,3049.26032
15220,4813.45285
15221,6620.09877
15222,3764.31973
15223,5322.84043
15224,3494.94296
15225,5852.8742
15226,6683.20061
15227,6595.90158
15228,5042.64034
15229,8570.91353
15230,6335.29639
15231,6901.65894
15232,7399.87589
15233,3866.79896
15234,6595.45629
15235,5767.17836
15236,6010.76008
15237,5636.30874
15238,6491.22353
15239,6595.45629
15240,5552.72387
15241,5647.71226
15242,5628.71053
15243,6235.45278
15244,5791.45673
15245,5063.85109
15246,7434.34904
15247,7101.75783
15248,6554.97686
15249,5192.88315
15250,7434.34904
15251,3834.5748
15252,4898.83586
15253,7565.10416
15254,5503.09583
15255,4568.67217
15256,7005.0386
15257,4853.8076
15258,5296.61109
15259,4968.60117
15260,5377.27086
15261,4936.10558
15262,7778.34916
15263,6274.93484
15264,7510.79057
15265,4644.60117
15266,6564.9583
15267,4808.60902
15268,4163.82304
15269,4644.60117
15270,5347.71894
15271,5495.36535
15272,6072.83443
15273,4830.95981
15274,6376.66256
15275,6117.4759
15276,5817.18527
15277,5755.70016
15278,7243.22611
15279,4167.45124
15280,7451.72563
15281,6608.04163
15282,5741.2103
15283,3385.36422
15284,5876.96001
15285,5388.50369
15286,6237.20605
15287,4167.45124
15288,5932.23909
15289,7024.74836
15290,6595.90158
15291,5739.68029
15292,6327.00807
15293,3923.90628
15294,4898.83586
15295,4936.01177
15296,7570.48492
15297,7207.4203
15298,7022.18973
15299,3519.43131
15300,7235.77564
15301,6187.95188
15302,7765.25632
15303,4056.83427
15304,6575.59267
15305,5649.03716
15306,4112.89349
15307,8743.52098
15308,7284.81478
15309,5529.06614
15310,4858.24073
15311,5552.72387
15312,6960.10751
15313,5882.96562
15314,4057.55521
15315,5830.89362
15316,7713.4796
15317,7608.62182
15318,5665.2196
15319,6771.67497
15320,7219.76039
15321,4580.393
15322,7804.62795
15323,6598.85404
15324,5150.94289
15325,5934.01088
15326,8605.19995
15327,6320.96112
15328,6614.21931
15329,6327.00807
15330,6696.23571
15331,7895.0208
15332,4310.6254
15333,5514.66748
15334,4503.16186
15335,6578.23522
15336,6392.35667
15337,4684.89321
15338,3895.62684
15339,6638.65649
15340,7556.10991
15341,6929.5548
15342,4641.00151
15343,7085.06308
15344,7071.61532
15345,5439.4215
15346,6226.28514
15347,5811.21147
15348,6909.43
15349,7136.98445
15350,8109.2305
15351,8634.77583
15352,3276.36206
15353,6860.39643
15354,5428.10602
15355,3708.20502
15356,6325.26613
15357,3720.71159
15358,5945.89951
15359,7878.81768
15360,5291.89688
15361,6254.65511
15362,7588.36096
15363,6019.26248
15364,8465.88563
15365,3139.43255
15366,5773.62581
15367,5920.48718
15368,5628.8828
15369,3626.36653
15370,7428.83442
15371,5902.33288
15372,5932.23909
15373,7907.24067
15374,4387.74185
15375,4867.94772
15376,6614.21931
15377,6157.05484
15378,7576.39253
15379,6493.47253
15380,5791.45673
15381,7907.24067
15382,5696.02606
15383,7455.41638
15384,6992.82314
15385,4167.45124
15386,5360.87391
15387,6482.70572
15388,4163.82304
15389,5225.16307
15390,7935.09476
15391,5720.72316
15392,7022.18973
15393,4068.35066
15394,5535.05665
15395,7861.46538
15396,7835.76779
15397,3983.09785
15398,8413.65966
15399,7829.514
15400,7576.39253
15401,7423.46988
15402,6515.26145
15403,3708.20502
15404,5399.86113
15405,7241.37053
15406,5381.27266
15407,4062.73953
15408,6019.26248
15409,6595.90158
15410,4936.01177
15411,6919.34518
15412,4340.82151
15413,5747.56017
15414,4808.60902
15415,7517.44077
15416,5830.48855
15417,5428.10602
15418,6030.98074
15419,6335.29639
15420,6898.39095
15421,4899.11899
15422,7669.81182
15423,4590.82334
15424,5643.36045
15425,5948.11447
15426,3182.69865
15427,4870.62537
15428,7565.21124
15429,3680.56025
15430,5773.00842
15431,7080.04004
15432,7013.00281
15433,5777.3754
15434,5454.63385
15435,5199.79211
15436,4254.82514
15437,6263.80788
15438,4999.15621
15439,3828.16556
15440,4303.94303
15441,6526.98819
15442,5403.69852
15443,8823.69011
15444,6929.5548
15445,4254.82514
15446,7675.96352
15447,4926.27902
15448,7660.88604
15449,6376.66256
15450,2825.00374
15451,6958.17479
15452,7381.3794
15453,5828.73212
15454,5347.51393
15455,6574.18247
15456,6771.72291
15457,7016.89385
15458,5524.14541
15459,6071.2289
15460,7529.17505
15461,7122.49056
15462,4203.02762
15463,6574.18247
15464,7163.9441
15465,4867.94772
15466,8562.37077
15467,5429.68161
15468,2508.37567
15469,8655.67644
15470,5711.85174
15471,6235.45278
15472,6180.95142
15473,6528.79888
15474,4850.03746
15475,7451.72563
15476,5912.43376
15477,5345.99106
15478,6948.2288
15479,3519.43131
15480,5004.15434
15481,5552.72387
15482,8969.40184
15483,6862.90839
15484,6493.25828
15485,6677.62443
15486,4644.60117
15487,3182.69865
15488,3385.148
15489,3822.98167
15490,6821.8081
15491,3238.02815
15492,4945.79443
15493,6320.96112
15494,7969.02575
15495,6708.24129
15496,6801.49205
15497,6072.83443
15498,7451.72563
15499,7122.49056
15500,7483.73632
15501,7771.01027
15502,5124.8549
15503,5296.61109
15504,6058.64876
15505,3269.27176
15506,6030.98074
15507,8007.20621
15508,6717.44627
15509,5531.35174
15510,6731.71221
15511,8166.59786
15512,6010.76008
15513,5151.38647
15514,4178.77206
15515,6779.98166
15516,5954.51315
15517,7479.93417
15518,5830.89362
15519,4558.98072
15520,6236.70711
15521,4868.21145
15522,7829.514
15523,5388.50369
15524,7381.97333
15525,3866.79896
15526,6079.08526
15527,4865.39997
15528,5531.35174
15529,6347.56076
15530,6842.76056
15531,4062.73953
15532,6503.27204
15533,4768.59437
15534,3511.5379
15535,6580.39696
15536,6595.45629
15537,7884.56772
15538,3866.79896
15539,4769.31827
15540,5439.4215
15541,5403.69852
15542,5009.96222
15543,5601.20531
15544,4179.18592
15545,6117.4759
15546,5330.06203
15547,7417.81497
15548,6620.09877
15549,4575.76991
15550,7080.04004
15551,4336.10096
15552,6848.62622
15553,7907.24067
15554,5772.91016
15555,7024.74836
15556,6770.23332
15557,8621.81568
15558,6037.68613
15559,7765.25632
15560,4905.49871
15561,4178.77206
15562,6626.50685
15563,4574.81387
15564,4572.12637
15565,5086.60991
15566,6306.55062
15567,7152.13259
15568,3501.17992
15569,5462.13394
15570,5964.79111
15571,5718.40817
15572,2384.72892
15573,4898.83586
15574,6097.44285
15575,7007.66825
15576,6514.63899
15577,5424.12351
15578,4558.98072
15579,7071.83395
15580,7575.80124
15581,5865.38472
15582,7241.37053
15583,4387.74185
15584,4905.49871
15585,5199.53404
15586,6236.70711
15587,4870.62537
15588,5720.72316
15589,5199.53404
15590,4340.82151
15591,6235.45278
15592,7136.98445
15593,7064.16978
15594,8166.59786
15595,5911.49359
15596,3943.13168
15597,6150.84205
15598,3822.98167
15599,6860.39643
15600,4576.10071
15601,7243.22611
15602,5296.61109
15603,5514.66748
15604,5531.35174
15605,8711.20896
15606,8408.38341
15607,4868.21145
15608,6320.23893
15609,5356.87186
15610,7159.33666
15611,5234.74696
15612,7617.39589
15613,7290.10652
15614,7024.74836
15615,5403.69852
15616,5828.73212
15617,5556.3746
15618,6157.05484
15619,4340.82151
15620,5831.7066
15621,5016.74159
15622,6808.26361
15623,6638.65649
15624,5345.99106
15625,4868.21145
15626,8166.59786
15627,4234.86859
15628,6754.44894
15629,5970.68186
15630,4334.84122
15631,6746.4546
15632,6822.97163
15633,6010.76008
15634,6520.8976
15635,6515.30587
15636,4768.59437
15637,3496.35236
15638,3182.69865
15639,5912.43376
15640,8254.05731
15641,6239.53349
15642,6135.69998
15643,6583.45789
15644,7897.9319
15645,3276.36206
15646,4745.46028
15647,5333.97357
15648,4830.95981
15649,5791.45673
15650,4062.73953
15651,4281.52619
15652,5914.16491
15653,4112.89349
15654,3998.05416
15655,3626.36653
15656,5777.3754
15657,4201.43596
15658,7888.41493
15659,7048.87072
15660,6524.29532
15661,7340.46077
15662,6589.27898
15663,7455.41638
15664,3396.72989
15665,5333.97357
15666,7234.25525
15667,6626.8515
15668,4247.50893
15669,7416.70776
15670,4056.83427
15671,4350.42467
15672,6521.29112
15673,2688.02883
15674,3998.05416
15675,7236.09025
15676,7888.41493
15677,8212.79289
15678,5124.8549
15679,6187.95188
15680,6795.88187
15681,6058.64876
15682,7107.60976
15683,7381.97333
15684,4393.52743
15685,4913.22292
15686,6260.47363
15687,7878.81768
15688,8711.20896
15689,5524.14541
15690,4056.83427
15691,6595.90158
15692,5360.87391
15693,5750.88107
15694,5791.45673
15695,2625.26916
15696,7222.00462
15697,6315.23321
15698,4952.01304
15699,6451.10052
15700,3049.26032
15701,8157.23694
15702,5637.9843
15703,4232.76231
15704,4218.32799
15705,5424.12351
15706,6239.53349
15707,6757.07366
15708,7064.16978
15709,4684.89321
15710,7804.62795
15711,6019.26248
15712,7425.75194
15713,4178.77206
15714,4546.78674
15715,7230.1325
15716,7829.514
15717,8212.79289
15718,6574.18247
15719,6412.47345
15720,3680.56025
15721,8655.67644
15722,7888.41493
15723,4310.6254
15724,4644.60117
15725,7778.34916
15726,4867.94772
15727,7800.50128
15728,4558.98072
15729,7628.6476
15730,4489.22384
15731,5684.14351
15732,5492.81699
15733,7675.96352
15734,6237.20605
15735,6503.27204
15736,7765.25632
15737,6260.47363
15738,5004.15434
15739,6102.76282
15740,8104.93497
15741,6986.80996
15742,7434.34904
15743,7219.76039
15744,7215.40971
15745,3948.98691
15746,4769.31827
15747,7417.81497
15748,6493.63712
15749,4045.47966
15750,5831.7066
15751,6770.23332
15752,7521.71436
15753,6619.84695
15754,7510.79057
15755,7897.9319
15756,7243.22611
15757,5151.38647
15758,6306.55062
15759,5830.89362
15760,6150.84205
15761,4568.67217
15762,6255.89064
15763,6614.21931
15764,4888.50303
15765,5732.24032
15766,8634.77583
15767,6277.16867
15768,6237.20605
15769,6598.85404
15770,4320.87416
15771,5876.96001
15772,5454.63385
15773,5971.39402
15774,7483.73632
15775,7184.01384
15776,5755.70016
15777,5395.33158
15778,7103.50894
15779,5033.68556
15780,8823.69011
15781,7415.89441
15782,4867.94772
15783,7071.61532
15784,5932.23909
15785,5126.99318
15786,4178.77206
15787,4930.61903
15788,4042.84264
15789,8263.28974
15790,7690.1749
15791,4340.82151
15792,6368.84982
15793,6683.20061
15794,4568.67217
15795,6595.90158
15796,5912.43376
15797,7455.41638
15798,5329.2632
15799,4952.01304
15800,7024.74836
15801,8013.62631
15802,4433.53697
15803,6801.32393
15804,5498.43844
15805,6071.2289
15806,6274.93484
15807,5865.38472
15808,6318.70872
15809,7044.56761
15810,5914.16491
15811,6150.84205
15812,5033.68556
15813,4789.59697
15814,5919.43076
15815,4737.63925
15816,4045.47966
15817,7532.82953
15818,6279.3385
15819,3631.90544
15820,5948.11447
15821,7835.76779
15822,5199.53404
15823,7380.6338
15824,5544.62172
15825,2946.92602
15826,5367.61826
15827,4745.46028
15828,3631.90544
15829,5741.2103
15830,4590.82334
15831,5931.7528
15832,8318.79889
15833,5898.01573
15834,6190.66597
15835,7933.30235
15836,2452.68075
15837,7588.36096
15838,5946.05226
15839,6190.66597
15840,7231.02778
15841,5920.48718
15842,6368.84982
15843,5862.80545
15844,6013.40759
15845,5575.39447
15846,7548.34706
15847,8173.5891
15848,7451.72563
15849,4568.67217
15850,4167.45124
15851,6569.24967
15852,3494.94296
15853,4870.62537
15854,4387.74185
15855,5632.45917
15856,6848.62622
15857,5046.45734
15858,7417.81497
15859,6521.29112
15860,7963.93931
15861,8104.93497
15862,5495.36535
15863,4576.10071
15864,4254.82514
15865,4737.63925
15866,6331.86722
15867,6376.66256
15868,7161.9619
15869,6731.61844
15870,5876.96001
15871,6146.83152
15872,3948.98691
15873,7617.39589
15874,6279.3385
15875,6263.80788
15876,4042.84264
15877,8013.62631
15878,7416.70776
15879,4898.83586
15880,5882.96562
15881,6515.26145
15882,7005.0386
15883,5454.63385
15884,5313.37828
15885,4228.81888
15886,4813.45285
15887,4340.82151
15888,4203.02762
15889,6347.56076
15890,6060.64149
15891,5178.27031
15892,5767.17836
15893,6922.84679
15894,6098.11317
15895,5739.68029
15896,3941.25512
15897,5367.61826
15898,5807.00693
15899,3837.51296
15900,6146.83152
15901,4808.60902
15902,6480.80815
15903,4323.93099
15904,8652.04334
15905,7933.30235
15906,6708.24129
15907,4560.22361
15908,3447.0821
15909,7127.16457
15910,3901.98955
15911,3837.51296
15912,7416.70776
15913,5722.57676
15914,6102.76282
15915,7297.7321
15916,5356.87186
15917,6543.97182
15918,4926.27902
15919,4303.94303
15920,5496.08506
15921,6368.84982
15922,5932.23909
15923,7235.77564
15924,7626.61733
15925,5501.87808
15926,4870.62537
15927,5299.66133
15928,3748.46547
15929,6239.53349
15930,5498.43844
15931,5004.15434
15932,6696.23571
15933,6226.28514
15934,7163.9441
15935,7064.16978
15936,5834.98164
15937,6500.09778
15938,5454.63385
15939,7675.96352
15940,4234.86859
15941,6397.35569
15942,2605.69676
15943,4282.70063
15944,6595.90158
15945,4178.77206
15946,4200.97375
15947,7416.70776
15948,7532.82953
15949,4870.62537
15950,6449.04157
15951,6898.39095
15952,3631.90544
15953,6202.32702
15954,7235.77564
15955,5439.4215
15956,6591.78118
15957,7044.56761
15958,3866.79896
15959,4387.74185
15960,3834.5748
15961,5524.14541
15962,3948.98691
15963,7159.33666
15964,7637.63338
15965,4323.93099
15966,8174.46338
15967,3387.78516
15968,4740.01505
15969,6880.7759
15970,7183.10038
15971,5920.48718
15972,5217.13976
15973,5828.73212
15974,5729.56964
15975,6368.84982
15976,4245.28573
15977,3502.08292
15978,5356.87186
15979,7738.88171
15980,7322.60914
15981,4945.79443
15982,5628.8828
15983,3385.148
15984,8570.91353
15985,5663.06579
15986,7835.76779
15987,7270.31832
15988,6255.89064
15989,5042.64034
15990,6010.76008
15991,4303.94303
15992,4905.49871
15993,6929.5548
15994,4930.61903
15995,4393.52743
15996,6608.90751
15997,6493.47253
15998,6594.0446
15999,7443.62446
16000,7706.88137
16001,8064.73881
16002,5834.98164
16003,4245.28573
16004,5867.99722
16005,3436.49354
16006,7829.514
16007,5902.33288
16008,8823.69011
16009,4808.60902
16010,5867.99722
16011,6157.05484
16012,5916.86224
16013,6526.98819
16014,4042.84264
16015,4042.84264
16016,6190.66597
16017,5330.36931
16018,6079.08526
16019,7162.43364
16020,5347.71894
16021,6180.95142
16022,5454.63385
16023,5192.88315
16024,4016.3616
16025,6598.85404
16026,7298.0026
16027,5246.52146
16028,4290.96488
16029,5299.66133
16030,5225.16307
16031,6986.80996
16032,6491.22353
16033,3631.90544
16034,6752.17704
16035,4162.76156
16036,5299.66133
16037,5732.24032
16038,4870.62537
16039,5711.85174
16040,7117.95038
16041,6992.82314
16042,6830.96605
16043,7532.82953
16044,4323.93099
16045,5964.79111
16046,6135.69998
16047,5498.46022
16048,7235.77564
16049,7219.76039
16050,6574.18247
16051,5291.89688
16052,5931.7528
16053,3941.25512
16054,8823.69011
16055,5632.45917
16056,5178.27031
16057,5462.13394
16058,4584.45355
16059,6992.82314
16060,6132.41738
16061,5329.2632
16062,3322.9462
16063,6187.95188
16064,6747.59779
16065,4768.59437
16066,4644.60117
16067,6595.45629
16068,7322.60914
16069,7895.0208
16070,6409.14001
16071,6842.76056
16072,4163.82304
16073,5837.21503
16074,6263.80788
16075,6919.34518
16076,7440.71201
16077,8538.462
16078,7963.93931
16079,4357.82292
16080,5882.96562
16081,7521.71436
16082,4568.67217
16083,7479.93417
16084,6370.89887
16085,6830.96605
16086,6135.69998
16087,6034.64214
16088,4936.10558
16089,7103.50894
16090,6860.39643
16091,6958.17479
16092,3828.16556
16093,3494.94296
16094,6539.11085
16095,4177.0152
16096,5009.96222
16097,7998.35059
16098,5454.63385
16099,7130.83001
16100,6237.20605
16101,6182.75087
16102,7914.17118
16103,8562.37077
16104,6368.84982
16105,4334.84122
16106,7907.24067
16107,7172.43501
16108,5544.62172
16109,6673.304
16110,8166.59786
16111,4813.45285
16112,3494.94296
16113,8465.88563
16114,7434.34904
16115,3723.52338
16116,6580.39696
16117,5453.99382
16118,3385.36422
16119,7297.7321
16120,4278.76321
16121,6919.34518
16122,6037.68613
16123,6097.44285
16124,6575.59267
16125,7555.17159
16126,5151.38647
16127,7555.17159
16128,7715.81088
16129,6254.82922
16130,7041.38018
16131,5767.17836
16132,7576.39253
16133,6146.83152
16134,7554.4683
16135,5817.18527
16136,7215.40971
16137,3895.62684
16138,4480.07
16139,6058.64876
16140,5313.37828
16141,5556.37228
16142,7243.22611
16143,6958.17479
16144,4899.11899
16145,7576.39253
16146,7206.90196
16147,7172.43501
16148,7417.81497
16149,7441.50942
16150,6619.84695
16151,5628.71053
16152,6392.35667
16153,4247.50893
16154,8570.91353
16155,6368.84982
16156,5046.45734
16157,5005.32997
16158,5492.81699
16159,7935.09476
16160,5722.57676
16161,6251.61184
16162,7532.82953
16163,8489.69192
16164,5645.14663
16165,8284.85461
16166,5333.87334
16167,6117.4759
16168,7835.76779
16169,3813.16579
16170,7434.34904
16171,7127.16457
16172,7897.9319
16173,5529.06614
16174,3373.43684
16175,6263.80788
16176,6836.39728
16177,3385.36422
16178,5862.80545
16179,4572.12637
16180,5722.57676
16181,7024.74836
16182,7005.0386
16183,7575.80124
16184,4162.76156
16185,6580.39696
16186,4945.79443
16187,3901.98955
16188,5192.88315
16189,6526.98819
16190,4350.42467
16191,5647.71226
16192,6132.99793
16193,8711.20896
16194,6514.63899
16195,6942.3963
16196,6327.47736
16197,5136.93247
16198,5305.74363
16199,5898.01573
16200,5807.00693
16201,7517.44077
16202,6901.65894
16203,8413.65966
16204,7290.10652
16205,7322.60914
16206,6249.47082
16207,3804.61017
16208,6132.41738
16209,4694.60819
16210,6187.95188
16211,5686.12196
16212,4232.76231
16213,7626.61733
16214,4700.57615
16215,6869.7776
16216,5150.94289
16217,3834.5748
16218,4745.46028
